vset	V(vmeas)	I(R3)
3.580000000000003e-01	7.151225e-01	1.789990e+00
3.590000000000003e-01	7.151208e-01	1.794990e+00
3.600000000000003e-01	7.151190e-01	1.799990e+00
3.610000000000003e-01	7.151173e-01	1.804990e+00
3.620000000000003e-01	7.151155e-01	1.809990e+00
3.630000000000003e-01	7.151138e-01	1.814990e+00
3.640000000000003e-01	7.151121e-01	1.819990e+00
3.650000000000003e-01	7.151104e-01	1.824990e+00
3.660000000000003e-01	7.151086e-01	1.829990e+00
3.670000000000003e-01	7.151068e-01	1.834990e+00
3.680000000000003e-01	7.151051e-01	1.839990e+00
3.690000000000003e-01	7.151033e-01	1.844990e+00
3.700000000000003e-01	7.151016e-01	1.849990e+00
3.710000000000003e-01	7.150999e-01	1.854990e+00
3.720000000000003e-01	7.150981e-01	1.859990e+00
3.730000000000003e-01	7.150964e-01	1.864990e+00
3.740000000000003e-01	7.150946e-01	1.869990e+00
3.750000000000003e-01	7.150928e-01	1.874990e+00
3.760000000000003e-01	7.150910e-01	1.879990e+00
3.770000000000003e-01	7.150893e-01	1.884990e+00
3.780000000000003e-01	7.150875e-01	1.889990e+00
3.790000000000003e-01	7.150857e-01	1.894990e+00
3.800000000000003e-01	7.150840e-01	1.899990e+00
3.810000000000003e-01	7.150822e-01	1.904990e+00
3.820000000000003e-01	7.150804e-01	1.909990e+00
3.830000000000003e-01	7.150787e-01	1.914990e+00
3.840000000000003e-01	7.150769e-01	1.919990e+00
3.850000000000003e-01	7.150751e-01	1.924990e+00
3.860000000000003e-01	7.150733e-01	1.929990e+00
3.870000000000003e-01	7.150716e-01	1.934990e+00
3.880000000000003e-01	7.150698e-01	1.939990e+00
3.890000000000003e-01	7.150680e-01	1.944990e+00
3.900000000000003e-01	7.150663e-01	1.949990e+00
3.910000000000003e-01	7.150645e-01	1.954990e+00
3.920000000000003e-01	7.150627e-01	1.959990e+00
3.930000000000003e-01	7.150609e-01	1.964990e+00
